Pk,Tm,Player,College,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
1,DAL,Cooper Flagg,Duke,0.481,0.385,0.84,30.7,19.2,7.5,4.2
2,SAS,Dylan Harper,Rutgers University,0.484,0.333,0.75,32.6,19.4,4.6,4.0
3,PHI,VJ Edgecombe,Baylor,0.436,0.34,0.782,32.7,15.0,5.6,3.2
4,CHO,Kon Knueppel,Duke,0.479,0.406,0.914,30.5,14.4,4.0,2.7
5,UTA,Ace Bailey,Rutgers University,0.46,0.346,0.692,33.3,17.6,7.2,1.3
6,WAS,Tre Johnson,Texas,0.427,0.397,0.871,34.7,19.9,3.1,2.7
7,NOP,Jeremiah Fears,Oklahoma,0.434,0.284,0.851,30.2,17.1,4.1,4.1
8,BRK,Egor Demin,BYU,0.412,0.273,0.695,27.5,10.6,3.9,5.5
9,TOR,Collin Murray-Boyles,South Carolina,0.59,0.231,0.695,27.0,13.8,7.1,2.1
10,HOU,Khaman Maluach,Duke,0.712,0.25,0.766,21.2,8.6,6.6,0.5
11,POR,Cedric Coward,Washington State,0.595,0.388,0.832,26.5,11.8,6.2,1.9
13,ATL,Derik Queen,Maryland,0.526,0.2,0.766,30.4,16.5,9.0,1.9
14,SAS,Carter Bryant,Arizona,0.46,0.371,0.695,19.3,6.5,4.1,1.0
15,OKC,Thomas Sorber,Georgetown,0.532,0.162,0.724,31.3,14.5,8.5,2.4
18,WAS,Walter Clayton,Florida,0.444,0.386,0.879,27.8,15.2,3.4,2.9
20,MIA,Kasparas Jakucionis,Illinois,0.44,0.318,0.845,31.8,15.0,5.7,4.7
21,UTA,Will Riley,Illinois,0.432,0.326,0.724,25.7,12.6,4.1,2.2
22,ATL,Drake Powell,UNC,0.483,0.379,0.648,25.6,7.4,3.4,1.1
23,IND,Asa Newell,Georgia,0.543,0.292,0.748,29.0,15.4,6.9,0.9
24,OKC,Nique Clifford,Colorado State,0.469,0.364,0.724,25.6,10.1,5.9,2.4
25,ORL,Jase Richardson,Michigan State,0.493,0.412,0.836,25.3,12.1,3.3,1.9
27,BRK,Danny Wolf,Michigan,0.479,0.336,0.646,25.2,11.1,7.9,2.5
29,PHO,Liam McNeeley,UConn,0.381,0.317,0.866,32.1,14.5,6.0,2.3
30,LAC,Yanic Konan Niederhauser,Penn State,0.57,0.216,0.648,18.6,8.1,4.4,0.4
31,MIN,Rasheer Fleming,Saint Joseph's,0.51,0.349,0.68,26.4,10.6,7.1,0.9
33,CHO,Sion James,Duke,0.481,0.358,0.715,32.0,9.3,4.5,3.0
34,CHO,Ryan Kalkbrenner,Creighton,0.658,0.311,0.709,29.3,14.5,6.8,1.1
35,PHI,Johni Broome,Auburn,0.539,0.302,0.603,27.2,16.1,9.5,1.7
36,BRK,Adou Thiero,Arkansas,0.514,0.284,0.711,20.4,8.8,4.4,1.2
37,DET,Chaz Lanier,Tennessee,0.431,0.395,0.758,31.4,18.0,3.9,1.1
38,SAS,Kam Jones,Marquette,0.475,0.366,0.671,28.1,14.9,3.1,2.9
39,TOR,Alijah Martin,Florida,0.442,0.364,0.76,26.5,12.5,4.9,1.6
40,WAS,Micah Peavy,Georgetown,0.451,0.323,0.606,25.9,9.5,4.2,2.0
41,GSW,Koby Brea,Kentucky,0.45,0.434,0.802,24.9,8.8,3.1,1.1
42,SAC,Maxime Raynaud,Stanford,0.515,0.347,0.732,24.7,12.6,7.7,1.3
43,UTA,Jamir Watkins,Florida State,0.427,0.325,0.758,25.6,12.9,5.1,1.9
44,OKC,Brooks Barnhizer,Northwestern,0.415,0.31,0.782,29.0,11.1,6.1,2.2
46,ORL,Amari Williams,Kentucky,0.529,0.3,0.628,21.4,10.4,7.4,2.0
48,MEM,Javon Small,West Virginia,0.415,0.35,0.871,30.4,14.2,3.9,4.4
49,CLE,Tyrese Proctor,Duke,0.421,0.365,0.768,29.9,10.8,3.0,3.0
50,NYK,Kobe Sanders,Nevada,0.427,0.329,0.794,27.7,11.5,3.1,2.8
53,UTA,John Tonje,Wisconsin,0.457,0.378,0.858,23.0,10.8,3.4,1.0
54,IND,Taelon Peter,Liberty,0.564,0.439,0.773,20.6,11.9,3.5,1.0
55,LAL,Lachlan Olbrich,International,0.479,0.292,0.556,27.9,11.4,6.1,1.4
56,MEM,Will Richard,Florida,0.463,0.355,0.825,29.3,11.9,4.7,1.5
57,ORL,Max Shulga,VCU,0.439,0.392,0.821,25.0,10.1,4.0,2.8
59,HOU,Jahmai Mashack,Tennessee,0.44,0.343,0.668,18.2,4.2,2.8,1.2
