Pk,Tm,Player,College,Player_Link
1,DAL,Cooper Flagg,Duke,https://www.basketball-reference.com/players/f/flaggco01.html
2,SAS,Dylan Harper,Rutgers University,https://www.basketball-reference.com/players/h/harpedy01.html
3,PHI,VJ Edgecombe,Baylor,https://www.basketball-reference.com/players/e/edgecvj01.html
4,CHO,Kon Knueppel,Duke,https://www.basketball-reference.com/players/k/knuepko01.html
5,UTA,Ace Bailey,Rutgers University,https://www.basketball-reference.com/players/b/baileac01.html
6,WAS,Tre Johnson,Texas,https://www.basketball-reference.com/players/j/johnstr03.html
7,NOP,Jeremiah Fears,Oklahoma,https://www.basketball-reference.com/players/f/fearsje01.html
8,BRK,Egor Demin,BYU,https://www.basketball-reference.com/players/d/demineg01.html
9,TOR,Collin Murray-Boyles,South Carolina,https://www.basketball-reference.com/players/m/murraco01.html
10,HOU,Khaman Maluach,Duke,https://www.basketball-reference.com/players/m/maluakh01.html
11,POR,Cedric Coward,Washington State,https://www.basketball-reference.com/players/c/cowarce01.html
12,CHI,Noa Essengue,,https://www.basketball-reference.com/players/e/essenno01.html
13,ATL,Derik Queen,Maryland,https://www.basketball-reference.com/players/q/queende01.html
14,SAS,Carter Bryant,Arizona,https://www.basketball-reference.com/players/b/bryanca01.html
15,OKC,Thomas Sorber,Georgetown,https://www.basketball-reference.com/players/s/sorbeth01.html
16,MEM,Yang Hansen,,https://www.basketball-reference.com/players/y/yangha01.html
17,MIN,Joan Beringer,,https://www.basketball-reference.com/players/b/berinjo01.html
18,WAS,Walter Clayton,Florida,https://www.basketball-reference.com/players/c/claytwa01.html
19,BRK,Nolan Traoré,,https://www.basketball-reference.com/players/t/traorno01.html
20,MIA,Kasparas Jakucionis,Illinois,https://www.basketball-reference.com/players/j/jakucka01.html
21,UTA,Will Riley,Illinois,https://www.basketball-reference.com/players/r/rileywi01.html
22,ATL,Drake Powell,UNC,https://www.basketball-reference.com/players/p/poweldr01.html
23,IND,Asa Newell,Georgia,https://www.basketball-reference.com/players/n/newelas01.html
24,OKC,Nique Clifford,Colorado State,https://www.basketball-reference.com/players/c/cliffni01.html
25,ORL,Jase Richardson,Michigan State,https://www.basketball-reference.com/players/r/richaja02.html
26,BRK,Ben Saraf,,https://www.basketball-reference.com/players/s/sarafbe01.html
27,BRK,Danny Wolf,Michigan,https://www.basketball-reference.com/players/w/wolfda01.html
28,BOS,Hugo González,,https://www.basketball-reference.com/players/g/gonzahu01.html
29,PHO,Liam McNeeley,UConn,https://www.basketball-reference.com/players/m/mcneeli01.html
30,LAC,Yanic Konan Niederhauser,Penn State,https://www.basketball-reference.com/players/k/konanya01.html
31,MIN,Rasheer Fleming,Saint Joseph's,https://www.basketball-reference.com/players/f/flemira01.html
32,BOS,Noah Penda,,https://www.basketball-reference.com/players/p/pendano01.html
33,CHO,Sion James,Duke,https://www.basketball-reference.com/players/j/jamessi01.html
34,CHO,Ryan Kalkbrenner,Creighton,https://www.basketball-reference.com/players/k/kalkbry01.html
35,PHI,Johni Broome,Auburn,https://www.basketball-reference.com/players/b/broomjo01.html
36,BRK,Adou Thiero,Arkansas,https://www.basketball-reference.com/players/t/thierad01.html
37,DET,Chaz Lanier,Tennessee,https://www.basketball-reference.com/players/l/laniech01.html
38,SAS,Kam Jones,Marquette,https://www.basketball-reference.com/players/j/joneska03.html
39,TOR,Alijah Martin,Florida,https://www.basketball-reference.com/players/m/martial01.html
40,WAS,Micah Peavy,Georgetown,https://www.basketball-reference.com/players/p/peavymi01.html
41,GSW,Koby Brea,Kentucky,https://www.basketball-reference.com/players/b/breako01.html
42,SAC,Maxime Raynaud,Stanford,https://www.basketball-reference.com/players/r/raynama01.html
43,UTA,Jamir Watkins,Florida State,https://www.basketball-reference.com/players/w/watkija01.html
44,OKC,Brooks Barnhizer,Northwestern,https://www.basketball-reference.com/players/b/barnhbr01.html
45,CHI,Rocco Zikarsky,,https://www.basketball-reference.com/players/z/zikarro01.html
46,ORL,Amari Williams,Kentucky,https://www.basketball-reference.com/players/w/william01.html
47,MIL,Bogoljub Markovic,,https://www.basketball-reference.com/players/m/markobo01.html
48,MEM,Javon Small,West Virginia,https://www.basketball-reference.com/players/s/smallja01.html
49,CLE,Tyrese Proctor,Duke,https://www.basketball-reference.com/players/p/proctty01.html
50,NYK,Kobe Sanders,Nevada,https://www.basketball-reference.com/players/s/sandeko01.html
51,LAC,Mohamed Diawara,,https://www.basketball-reference.com/players/d/diawamo01.html
52,PHO,Alex Toohey,,https://www.basketball-reference.com/players/t/tooheal01.html
53,UTA,John Tonje,Wisconsin,https://www.basketball-reference.com/players/t/tonjejo01.html
54,IND,Taelon Peter,Liberty,https://www.basketball-reference.com/players/p/peterta01.html
55,LAL,Lachlan Olbrich,,https://www.basketball-reference.com/players/o/olbrila01.html
56,MEM,Will Richard,Florida,https://www.basketball-reference.com/players/r/richawi02.html
57,ORL,Max Shulga,VCU,https://www.basketball-reference.com/players/s/shulgma01.html
58,CLE,Saliou Niang,,https://www.basketball-reference.com/players/n/niangsa01.html
59,HOU,Jahmai Mashack,Tennessee,https://www.basketball-reference.com/players/m/mashaja01.html
